master_source_venue_id,field,old_value,new_value,source
node/10847470148,city,,Principina Mare,spiagge:10287
node/10847470148,region,,Toscana,spiagge:10287
node/10847470148,postal_code,,58100,spiagge:10287
node/10847470148,booking_provider,,spiagge.it,spiagge:10287
node/838360273,city,,Cervia,spiagge:10294
node/838360273,region,,Emilia-Romagna,spiagge:10294
node/838360273,postal_code,,48015,spiagge:10294
node/838360273,booking_provider,,spiagge.it,spiagge:10294
node/4677305205,address,,Lungomare A.Diaz snc,spiagge:10291
node/4677305205,city,,Ceriale,spiagge:10291
node/4677305205,region,,Liguria,spiagge:10291
node/4677305205,postal_code,,17023,spiagge:10291
node/4677305205,booking_provider,,spiagge.it,spiagge:10291
node/5284725552,address,,"Via Giuseppe Barellai, 58",spiagge:10286
node/5284725552,city,,Viareggio,spiagge:10286
node/5284725552,region,,Toscana,spiagge:10286
node/5284725552,postal_code,,55049,spiagge:10286
node/5284725552,booking_provider,,spiagge.it,spiagge:10286
node/6535066545,address,,Via Diana 8 ,spiagge:10301
node/6535066545,city,,Ladispoli,spiagge:10301
node/6535066545,region,,Lazio,spiagge:10301
node/6535066545,postal_code,,00055,spiagge:10301
node/6535066545,booking_provider,,spiagge.it,spiagge:10301
way/611237425,region,,Lazio,spiagge:10302
way/611237425,booking_provider,,spiagge.it,spiagge:10302
way/134012985,address,,Via Aurelia km 65600,spiagge:10316
way/134012985,city,,Santa Marinella,spiagge:10316
way/134012985,region,,Lazio,spiagge:10316
way/134012985,postal_code,,00058,spiagge:10316
way/134012985,booking_provider,,spiagge.it,spiagge:10316
way/357427611,address,,"Lungomare Harmine, 64",spiagge:10323
way/357427611,city,,Montalto di Castro,spiagge:10323
way/357427611,region,,Lazio,spiagge:10323
way/357427611,postal_code,,01014,spiagge:10323
way/357427611,booking_provider,,spiagge.it,spiagge:10323
way/357440703,address,,"Lungomare Harmine, 58A",spiagge:10326
way/357440703,city,,Montalto di Castro,spiagge:10326
way/357440703,region,,Lazio,spiagge:10326
