spiagge_venue_id,spiagge_url,slug,sitemap_source,discovered_at
10170,https://www.spiagge.it/stabilimenti-balneari/10170-bagni-mediterranee/,bagni-mediterranee,stabilimenti_03,2026-06-01T15:18:21Z
10172,https://www.spiagge.it/stabilimenti-balneari/10172-bagni-elsa-3/,bagni-elsa-3,stabilimenti_01,2026-06-01T15:18:21Z
10174,https://www.spiagge.it/stabilimenti-balneari/10174-bagno-nido/,bagno-nido,stabilimenti_01,2026-06-01T15:18:21Z
10176,https://www.spiagge.it/stabilimenti-balneari/10176-bagno-doge/,bagno-doge,stabilimenti_01,2026-06-01T15:18:21Z
10177,https://www.spiagge.it/stabilimenti-balneari/10177-lido-adriatico/,lido-adriatico,stabilimenti_03,2026-06-01T15:18:21Z
10178,https://www.spiagge.it/stabilimenti-balneari/10178-lido-macchia-1964/,lido-macchia-1964,stabilimenti_01,2026-06-01T15:18:21Z
10179,https://www.spiagge.it/stabilimenti-balneari/10179-iride-beach/,iride-beach,stabilimenti_03,2026-06-01T15:18:21Z
10180,https://www.spiagge.it/stabilimenti-balneari/10180-bagno-magnani-72/,bagno-magnani-72,stabilimenti_03,2026-06-01T15:18:21Z
10181,https://www.spiagge.it/stabilimenti-balneari/10181-bagno-spina-48/,bagno-spina-48,stabilimenti_01,2026-06-01T15:18:21Z
10182,https://www.spiagge.it/stabilimenti-balneari/10182-palombina-ohana-beach/,palombina-ohana-beach,stabilimenti_03,2026-06-01T15:18:21Z
10183,https://www.spiagge.it/stabilimenti-balneari/10183-stabilimento-balneare-soleado/,stabilimento-balneare-soleado,stabilimenti_03,2026-06-01T15:18:21Z
10184,https://www.spiagge.it/stabilimenti-balneari/10184-acquario-a-mare/,acquario-a-mare,stabilimenti_03,2026-06-01T15:18:21Z
10185,https://www.spiagge.it/stabilimenti-balneari/10185-hawaii-beach/,hawaii-beach,stabilimenti_01,2026-06-01T15:18:21Z
10186,https://www.spiagge.it/stabilimenti-balneari/10186-le-spiagge--53-54-55-/,le-spiagge--53-54-55-,stabilimenti_01,2026-06-01T15:18:21Z
10187,https://www.spiagge.it/stabilimenti-balneari/10187-le-spiagge--57-58-59-/,le-spiagge--57-58-59-,stabilimenti_01,2026-06-01T15:18:21Z
10188,https://www.spiagge.it/stabilimenti-balneari/10188-le-spiagge--60-61-62-/,le-spiagge--60-61-62-,stabilimenti_01,2026-06-01T15:18:21Z
10189,https://www.spiagge.it/stabilimenti-balneari/10189-le-spiagge--47-48-49-50-/,le-spiagge--47-48-49-50-,stabilimenti_01,2026-06-01T15:18:21Z
10190,https://www.spiagge.it/stabilimenti-balneari/10190-bagno-gianni-64/,bagno-gianni-64,stabilimenti_01,2026-06-01T15:18:21Z
10191,https://www.spiagge.it/stabilimenti-balneari/10191-bagno-70/,bagno-70,stabilimenti_01,2026-06-01T15:18:21Z
10192,https://www.spiagge.it/stabilimenti-balneari/10192-bagno-battelli/,bagno-battelli,stabilimenti_01,2026-06-01T15:18:21Z
10193,https://www.spiagge.it/stabilimenti-balneari/10193-adriatic-village-35-36/,adriatic-village-35-36,stabilimenti_01,2026-06-01T15:18:21Z
